MaxAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_LOGPLOW,AvgIpc,BalabanJ,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA9,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,VSA_EState8,NumAliphaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,Value
14.274527,-4.4095397,0.2144794,13.367347,707.827,0.8979592,32.234787,-2.4219346,3.4640734,1.6280066,0.0,25.953762,5.9693055,21.55769,0.0,0.0,48.028023,24.802465,36.514233,106.68003,11.499023,11.374773,0.0,20.771212,0.0,0.0,33.690704,9.868668,38.48506,73.34469,6.923737,4.515641,0.0,0.0,0.0,5.88
13.67975,-1.9683162,0.030880153,14.621622,1051.118,0.5135135,16.373005,-2.6097765,3.2940905,3.2661781,0.0,0.0,17.907915,0.0,0.0,0.0,58.026783,25.676426,13.151638,35.895287,0.0,0.0,0.0,11.835813,0.0,0.0,5.5634513,13.847474,0.0,58.026783,5.3167887,7.019939,0.0,0.0,0.0,6.55
13.637378,-4.3624053,0.2733324,13.476191,620.702,0.64285713,32.234863,-2.438155,2.9771228,2.0697317,0.0,0.0,11.938611,16.835594,8.610432,0.0,24.265469,24.010563,14.219595,83.92331,11.499023,0.0,0.0,0.0,0.0,0.0,11.499023,8.610432,88.73074,12.132734,0.0,1.5730963,0.0,0.0,0.0,6.82
14.611779,-4.666205,0.1517407,13.206897,848.978,0.70689654,32.236195,-2.4298778,3.6329756,1.4461726,0.0,41.88423,0.0,34.697582,0.0,0.0,54.597305,31.912262,43.62403,131.95132,17.248535,11.374773,0.0,6.923737,0.0,0.0,22.5638,9.868668,88.05943,60.354584,4.722095,0.87813336,0.0,0.0,0.0,6.8
11.337939,-0.90301734,0.74190855,12.458333,345.786,1.25,35.495693,-2.084569,2.9357297,2.087891,0.0,0.0,5.9693055,4.6818027,0.0,5.098682,35.013428,18.544405,0.0,58.11119,0.0,0.0,11.60094,0.0,5.022633,11.0334015,16.102785,16.643604,0.0,29.928576,18.1991,-0.19874936,0.0,1.0,0.0,3.85
14.284731,-4.3665614,0.2059876,13.448979,705.855,0.93877554,32.234787,-2.4231143,3.4640734,1.6280066,0.0,25.953762,5.9693055,21.55769,0.0,0.0,61.018124,22.58815,29.404436,112.243484,5.7495117,11.374773,0.0,20.771212,0.0,0.0,45.674976,9.868668,13.176165,91.54379,13.847474,6.396658,0.0,0.0,0.0,5.45
13.842654,-4.091247,0.55882156,13.121212,464.587,1.0,32.23343,-2.367488,3.1446497,1.7942191,0.0,10.023292,5.9693055,8.417797,0.0,0.0,54.094387,10.58287,22.294638,88.48093,0.0,11.374773,0.0,20.771212,0.0,0.0,29.779867,33.227715,0.0,25.98021,43.32194,6.2328095,0.0,0.0,0.0,4.38
14.347101,-4.518975,0.17795525,14.727273,812.945,0.8181818,32.236225,-2.4365635,3.947027,1.4271716,0.0,31.86094,0.0,29.975487,0.0,0.0,24.265469,37.1622,43.62403,101.61949,17.248535,11.374773,0.0,6.923737,0.0,0.0,41.154957,9.868668,69.86033,48.221848,4.722095,1.0026603,1.0,0.0,0.0,6.21
13.359842,-3.8855355,0.3355124,11.777778,526.636,0.5277778,32.23486,-2.280852,2.9120493,1.7772555,0.0,20.046583,0.0,16.835594,0.0,0.0,24.265469,35.385334,36.92537,84.92914,11.499023,11.374773,0.0,0.0,0.0,10.772449,33.646244,0.0,61.190838,60.66367,0.0,0.0,0.0,0.0,0.0,5.64
15.798901,-2.18339,0.009833418,16.038961,2186.451,0.5064935,32.166374,-2.613632,1.6869687,1.1299195,5.9595547,0.0,11.938611,18.155224,11.761885,0.0,110.34166,63.373783,51.339287,125.53613,0.0,13.171246,11.761885,40.71535,0.0,10.902925,45.16978,19.05647,31.209785,116.184044,6.2557693,10.553955,0.0,2.0,1.0,7.0
